ant	seed	smoothing	backw	packetNum	packetPerSpec	bandwidth	decimation	clSize1	stdA1	stdD1	meanA1	meanD1	clSize2	stdA2	stdD2	meanA2	meanD2	clSize3	stdA3	stdD3	meanA3	meanD3	clSize4	stdA4	stdD4	meanA4	meanD4	clSize5	stdA5	stdD5	meanA5	meanD5
8	1	1	0	10	1	40	0	10	0	0	40	44	0					0					0					0				
8	1	1	0	10	1	40	1	10	0	0	40	44	0					0					0					0				
8	1	1	0	10	2	40	0	5	0	0	40	44	0					0					0					0				
8	1	1	0	10	2	40	1	5	0	0	40	44	0					0					0					0				
4	1	1	0	10	1	40	0	10	0	0.516	39	43.6	0					0					0					0				
4	1	1	0	10	1	40	1	10	0	0.422	39	43.8	0					0					0					0				
4	1	1	0	10	2	40	0	5	0	0	39	44	0					0					0					0				
4	1	1	0	10	2	40	1	5	0	0	39	44	0					0					0					0				
8	2	1	0	10	1	40	0	10	0.483	0	-85.7	44	0					0					0					0				
8	2	1	0	10	1	40	1	10	0.483	0	-85.7	44	0					0					0					0				
8	2	1	0	10	2	40	0	5	0.548	0	-85.6	44	0					0					0					0				
8	2	1	0	10	2	40	1	5	0.548	0	-85.6	44	0					0					0					0				
4	2	1	0	10	1	40	0	10	0.876	0	-83.9	44	0					0					0					0				
4	2	1	0	10	1	40	1	10	0.876	0	-83.9	44	0					0					0					0				
4	2	1	0	10	2	40	0	5	0.447	0	-84.2	44	0					0					0					0				
4	2	1	0	10	2	40	1	5	0.447	0	-84.2	44	0					0					0					0				
8	3	1	0	10	1	40	0	10	0	0	37	43	0					0					0					0				
8	3	1	0	10	1	40	1	10	0	0	37	43	0					0					0					0				
8	3	1	0	10	2	40	0	5	0	0	37	43	0					0					0					0				
8	3	1	0	10	2	40	1	5	0	0	37	43	0					0					0					0				
4	3	1	0	10	1	40	0	10	0	0	37	44	0					0					0					0				
4	3	1	0	10	1	40	1	10	0	0	37	44	0					0					0					0				
4	3	1	0	10	2	40	0	5	0	0	37	44	0					0					0					0				
4	3	1	0	10	2	40	1	5	0	0	37	44	0					0					0					0				
8	4	1	0	10	1	40	0	10	0	0	8	44	0					0					0					0				
8	4	1	0	10	1	40	1	10	0	0	8	44	0					0					0					0				
8	4	1	0	10	2	40	0	5	0	0	8	44	0					0					0					0				
8	4	1	0	10	2	40	1	5	0	0	8	44	0					0					0					0				
4	4	1	0	10	1	40	0	10	0	0	9	44	0					0					0					0				
4	4	1	0	10	1	40	1	10	0	0	9	44	0					0					0					0				
4	4	1	0	10	2	40	0	5	0	0	9	44	0					0					0					0				
4	4	1	0	10	2	40	1	5	0	0	9	44	0					0					0					0				
8	5	1	0	10	1	40	0	10	1.033	4.089	35.8	47.5	7	2.309	3.861	-49	66.714	3	2.082	4.726	-56.667	66.333	1	0	0	52	88	0				
8	5	1	0	10	1	40	1	10	4.165	3.536	-51.3	66.5	9	1	2.297	35.333	46.556	1	0	0	38	56	1	0	0	52	87	0				
8	5	1	0	10	2	40	0	5	0.548	1.517	35.4	46.6	3	1	4.041	-48	66.667	1	0	0	-53	69	1	0	0	-57	66	0				
8	5	1	0	10	2	40	1	5	0.548	1.517	35.4	46.4	3	1	4.041	-48	66.667	1	0	0	-52	69	1	0	0	-57	66	0				
4	5	1	0	10	1	40	0	9	4.324	3.701	-52.222	66.222	5	0.447	2.881	32.8	45.6	3	1	5.033	32	104.333	2	1.414	3.536	36	87.5	0				
4	5	1	0	10	1	40	1	9	4.848	3.701	-52.333	66.222	6	5.345	4.889	30.833	47.5	5	1.924	8.106	34.2	97.8	0					0				
4	5	1	0	10	2	40	0	5	1.517	1.732	32.4	47	4	3.403	2.16	-53.25	67	0					0					0				
4	5	1	0	10	2	40	1	5	1.095	2.702	32.8	46.6	4	3.317	2.16	-53.5	67	0					0					0				
8	6	1	0	10	1	40	0	10	0	0	-31	44	0					0					0					0				
8	6	1	0	10	1	40	1	10	0	0	-31	44	0					0					0					0				
8	6	1	0	10	2	40	0	5	0	0	-31	44	0					0					0					0				
8	6	1	0	10	2	40	1	5	0	0	-31	44	0					0					0					0				
4	6	1	0	10	1	40	0	10	0	0	-30	44	0					0					0					0				
4	6	1	0	10	1	40	1	10	0	0	-30	44	0					0					0					0				
4	6	1	0	10	2	40	0	5	0	0	-30	44	0					0					0					0				
4	6	1	0	10	2	40	1	5	0	0	-30	44	0					0					0					0				
8	7	1	0	10	1	40	0	10	0	0	51	44	0					0					0					0				
8	7	1	0	10	1	40	1	10	0	0	51	44	0					0					0					0				
8	7	1	0	10	2	40	0	5	0	0	51	44	0					0					0					0				
8	7	1	0	10	2	40	1	5	0	0	51	44	0					0					0					0				
4	7	1	0	10	1	40	0	10	0	0	51	44	0					0					0					0				
4	7	1	0	10	1	40	1	10	0	0	51	44	0					0					0					0				
4	7	1	0	10	2	40	0	5	0	0	51	44	0					0					0					0				
4	7	1	0	10	2	40	1	5	0	0	51	44	0					0					0					0				
8	8	1	0	10	1	40	0	10	0	0	84	44	0					0					0					0				
8	8	1	0	10	1	40	1	10	0	0	84	44	0					0					0					0				
8	8	1	0	10	2	40	0	5	0	0	84	44	0					0					0					0				
8	8	1	0	10	2	40	1	5	0	0	84	44	0					0					0					0				
4	8	1	0	10	1	40	0	10	0	0	84	44	0					0					0					0				
4	8	1	0	10	1	40	1	10	0	0	84	44	0					0					0					0				
4	8	1	0	10	2	40	0	5	0	0	84	44	0					0					0					0				
4	8	1	0	10	2	40	1	5	0	0	84	44	0					0					0					0				
8	9	1	0	10	1	40	0	10	0	0	0	44	0					0					0					0				
8	9	1	0	10	1	40	1	10	0	0	0	44	0					0					0					0				
8	9	1	0	10	2	40	0	5	0	0	0	44	0					0					0					0				
8	9	1	0	10	2	40	1	5	0	0	0	44	0					0					0					0				
4	9	1	0	10	1	40	0	10	0	0	0	44	0					0					0					0				
4	9	1	0	10	1	40	1	10	0	0	0	44	0					0					0					0				
4	9	1	0	10	2	40	0	5	0	0	0	44	0					0					0					0				
4	9	1	0	10	2	40	1	5	0	0	0	44	0					0					0					0				
8	10	1	0	10	1	40	0	10	0	0	-86	44	0					0					0					0				
8	10	1	0	10	1	40	1	10	0	0	-86	44	0					0					0					0				
8	10	1	0	10	2	40	0	5	0	0	-86	44	0					0					0					0				
8	10	1	0	10	2	40	1	5	0	0	-86	44	0					0					0					0				
4	10	1	0	10	1	40	0	10	0	0	-86	44	0					0					0					0				
4	10	1	0	10	1	40	1	10	0	0	-86	44	0					0					0					0				
4	10	1	0	10	2	40	0	5	0	0	-86	44	0					0					0					0				
4	10	1	0	10	2	40	1	5	0	0	-86	44	0					0					0					0				
8	11	1	0	10	1	40	0	10	0	0	-87	44	0					0					0					0				
8	11	1	0	10	1	40	1	10	0	0	-87	44	0					0					0					0				
8	11	1	0	10	2	40	0	5	0	0	-87	44	0					0					0					0				
8	11	1	0	10	2	40	1	5	0	0	-87	44	0					0					0					0				
4	11	1	0	10	1	40	0	10	0	0	-87	44	0					0					0					0				
4	11	1	0	10	1	40	1	10	0	0	-87	44	0					0					0					0				
4	11	1	0	10	2	40	0	5	0	0	-87	44	0					0					0					0				
4	11	1	0	10	2	40	1	5	0	0	-87	44	0					0					0					0				
8	12	1	0	10	1	40	0	10	0	0	43	44	0					0					0					0				
8	12	1	0	10	1	40	1	10	0	0	43	44	0					0					0					0				
8	12	1	0	10	2	40	0	5	0	0	43	44	0					0					0					0				
8	12	1	0	10	2	40	1	5	0	0	43	44	0					0					0					0				
4	12	1	0	10	1	40	0	10	0	0	43	44	0					0					0					0				
4	12	1	0	10	1	40	1	10	0	0	43	44	0					0					0					0				
4	12	1	0	10	2	40	0	5	0	0	43	44	0					0					0					0				
4	12	1	0	10	2	40	1	5	0	0	43	44	0					0					0					0				
8	13	1	0	10	1	40	0	10	0.316	0	-47.9	44	0					0					0					0				
8	13	1	0	10	1	40	1	10	0.422	0	-47.8	44	0					0					0					0				
8	13	1	0	10	2	40	0	5	0.447	0	-47.8	44	0					0					0					0				
8	13	1	0	10	2	40	1	5	0.447	0	-47.8	44	0					0					0					0				
4	13	1	0	10	1	40	0	10	0.483	0	-47.7	44	0					0					0					0				
4	13	1	0	10	1	40	1	10	0.483	0	-47.7	44	0					0					0					0				
4	13	1	0	10	2	40	0	5	0.447	0	-47.8	44	0					0					0					0				
4	13	1	0	10	2	40	1	5	0.447	0	-47.8	44	0					0					0					0				
8	14	1	0	10	1	40	0	10	0	0	49	44	0					0					0					0				
8	14	1	0	10	1	40	1	10	0	0	49	44	0					0					0					0				
8	14	1	0	10	2	40	0	5	0	0	49	44	0					0					0					0				
8	14	1	0	10	2	40	1	5	0	0	49	44	0					0					0					0				
4	14	1	0	10	1	40	0	10	0	0	49	44	0					0					0					0				
4	14	1	0	10	1	40	1	10	0	0	49	44	0					0					0					0				
4	14	1	0	10	2	40	0	5	0	0	49	44	0					0					0					0				
4	14	1	0	10	2	40	1	5	0	0	49	44	0					0					0					0				
8	15	1	0	10	1	40	0	10	0	0	-58	44	0					0					0					0				
8	15	1	0	10	1	40	1	10	0	0	-58	44	0					0					0					0				
8	15	1	0	10	2	40	0	5	0	0	-58	44	0					0					0					0				
8	15	1	0	10	2	40	1	5	0	0	-58	44	0					0					0					0				
4	15	1	0	10	1	40	0	10	0	0	-58	44	0					0					0					0				
4	15	1	0	10	1	40	1	10	0	0	-58	44	0					0					0					0				
4	15	1	0	10	2	40	0	5	0	0	-58	44	0					0					0					0				
4	15	1	0	10	2	40	1	5	0	0	-58	44	0					0					0					0				
8	16	1	0	10	1	40	0	10	0	0	4	44	0					0					0					0				
8	16	1	0	10	1	40	1	10	0	0	4	44	0					0					0					0				
8	16	1	0	10	2	40	0	5	0	0	4	44	0					0					0					0				
8	16	1	0	10	2	40	1	5	0	0	4	44	0					0					0					0				
4	16	1	0	10	1	40	0	10	0	0	4	44	0					0					0					0				
4	16	1	0	10	1	40	1	10	0	0	4	44	0					0					0					0				
4	16	1	0	10	2	40	0	5	0	0	4	44	0					0					0					0				
4	16	1	0	10	2	40	1	5	0	0	4	44	0					0					0					0				
8	17	1	0	10	1	40	0	10	0	0	6	44	0					0					0					0				
8	17	1	0	10	1	40	1	10	0	0	6	44	0					0					0					0				
8	17	1	0	10	2	40	0	5	0	0	6	44	0					0					0					0				
8	17	1	0	10	2	40	1	5	0	0	6	44	0					0					0					0				
4	17	1	0	10	1	40	0	10	0	0	5	44	0					0					0					0				
4	17	1	0	10	1	40	1	10	0	0	5	44	0					0					0					0				
4	17	1	0	10	2	40	0	5	0	0	5	44	0					0					0					0				
4	17	1	0	10	2	40	1	5	0	0	5	44	0					0					0					0				
8	18	1	0	10	1	40	0	10	0	0	1	43	0					0					0					0				
8	18	1	0	10	1	40	1	10	0	0	1	43	0					0					0					0				
8	18	1	0	10	2	40	0	5	0	0	1	43	0					0					0					0				
8	18	1	0	10	2	40	1	5	0	0	1	43	0					0					0					0				
4	18	1	0	10	1	40	0	10	0	0	0	43	0					0					0					0				
4	18	1	0	10	1	40	1	10	0	0	0	43	0					0					0					0				
4	18	1	0	10	2	40	0	5	0	0	0	43	0					0					0					0				
4	18	1	0	10	2	40	1	5	0	0	0	43	0					0					0					0				
8	19	1	0	10	1	40	0	10	0	0	47	44	0					0					0					0				
8	19	1	0	10	1	40	1	10	0	0	47	44	0					0					0					0				
8	19	1	0	10	2	40	0	5	0	0	47	44	0					0					0					0				
8	19	1	0	10	2	40	1	5	0	0	47	44	0					0					0					0				
4	19	1	0	10	1	40	0	10	0	0	47	44	0					0					0					0				
4	19	1	0	10	1	40	1	10	0	0	47	44	0					0					0					0				
4	19	1	0	10	2	40	0	5	0	0	47	44	0					0					0					0				
4	19	1	0	10	2	40	1	5	0	0	47	44	0					0					0					0				
8	20	1	0	10	1	40	0	10	0	0	72	43	0					0					0					0				
8	20	1	0	10	1	40	1	10	0	0	72	43	0					0					0					0				
8	20	1	0	10	2	40	0	5	0	0	72	43	0					0					0					0				
8	20	1	0	10	2	40	1	5	0	0	72	43	0					0					0					0				
4	20	1	0	10	1	40	0	10	0	0	72	43	0					0					0					0				
4	20	1	0	10	1	40	1	10	0	0	72	43	0					0					0					0				
4	20	1	0	10	2	40	0	5	0	0	72	43	0					0					0					0				
4	20	1	0	10	2	40	1	5	0	0	72	43	0					0					0					0				
8	21	1	0	10	1	40	0	10	0	0	-38	44	0					0					0					0				
8	21	1	0	10	1	40	1	10	0	0	-38	44	0					0					0					0				
8	21	1	0	10	2	40	0	5	0	0	-38	44	0					0					0					0				
8	21	1	0	10	2	40	1	5	0	0	-38	44	0					0					0					0				
4	21	1	0	10	1	40	0	10	0	0	-38	44	0					0					0					0				
4	21	1	0	10	1	40	1	10	0	0	-38	44	0					0					0					0				
4	21	1	0	10	2	40	0	5	0	0	-38	44	0					0					0					0				
4	21	1	0	10	2	40	1	5	0	0	-38	44	0					0					0					0				
8	22	1	0	10	1	40	0	10	0	0	-4	44	0					0					0					0				
8	22	1	0	10	1	40	1	10	0	0	-4	44	0					0					0					0				
8	22	1	0	10	2	40	0	5	0	0	-4	44	0					0					0					0				
8	22	1	0	10	2	40	1	5	0	0	-4	44	0					0					0					0				
4	22	1	0	10	1	40	0	10	0	0	-3	44	0					0					0					0				
4	22	1	0	10	1	40	1	10	0	0	-3	44	0					0					0					0				
4	22	1	0	10	2	40	0	5	0	0	-3	44	0					0					0					0				
4	22	1	0	10	2	40	1	5	0	0	-3	44	0					0					0					0				
8	23	1	0	10	1	40	0	10	0	0	80	44	0					0					0					0				
8	23	1	0	10	1	40	1	10	0	0	80	44	0					0					0					0				
8	23	1	0	10	2	40	0	5	0	0	80	44	0					0					0					0				
8	23	1	0	10	2	40	1	5	0	0	80	44	0					0					0					0				
4	23	1	0	10	1	40	0	10	0	0	80	44	0					0					0					0				
4	23	1	0	10	1	40	1	10	0	0	80	44	0					0					0					0				
4	23	1	0	10	2	40	0	5	0	0	80	44	0					0					0					0				
4	23	1	0	10	2	40	1	5	0	0	80	44	0					0					0					0				
8	24	1	0	10	1	40	0	10	0	0	36	44	0					0					0					0				
8	24	1	0	10	1	40	1	10	0	0	36	44	0					0					0					0				
8	24	1	0	10	2	40	0	5	0	0	36	44	0					0					0					0				
8	24	1	0	10	2	40	1	5	0	0	36	44	0					0					0					0				
4	24	1	0	10	1	40	0	10	0	0	36	44	0					0					0					0				
4	24	1	0	10	1	40	1	10	0	0	36	44	0					0					0					0				
